time,open,high,low,close
2024-05-07 23:00:00,38883.26,38902.26,38870.26,38873.26
2024-05-08 01:00:00,38882.87,38893.62,38861.62,38893.62
2024-05-08 02:00:00,38893.62,38896.87,38881.12,38887.12
2024-05-08 03:00:00,38888.12,38899.12,38883.87,38891.62
2024-05-08 04:00:00,38891.62,38898.12,38879.62,38883.62
2024-05-08 05:00:00,38883.62,38889.87,38865.37,38879.37
2024-05-08 06:00:00,38879.37,38897.87,38874.12,38886.12
2024-05-08 07:00:00,38885.87,38886.12,38872.12,38874.12
2024-05-08 08:00:00,38874.12,38886.62,38869.62,38886.12
2024-05-08 09:00:00,38886.12,38898.72,38878.22,38889.22
2024-05-08 10:00:00,38889.22,38924.47,38884.22,38900.72
2024-05-08 11:00:00,38900.72,38910.22,38880.22,38887.22
2024-05-08 12:00:00,38887.22,38921.47,38884.22,38912.22
2024-05-08 13:00:00,38912.22,38923.22,38888.22,38888.22
2024-05-08 14:00:00,38888.22,38897.72,38858.22,38876.97
2024-05-08 15:00:00,38876.97,38883.22,38804.97,38830.22
2024-05-08 16:00:00,38830.22,38906.97,38825.72,38897.22
2024-05-08 17:00:00,38897.47,38975.47,38872.47,38967.47
2024-05-08 18:00:00,38967.47,38989.97,38941.22,38967.97
2024-05-08 19:00:00,38967.97,38990.97,38929.72,38970.47
2024-05-08 20:00:00,38970.47,39014.97,38942.72,39009.47
2024-05-08 21:00:00,39009.72,39061.97,39002.97,39028.97
2024-05-08 22:00:00,39028.72,39104.97,39001.47,39057.12
2024-05-08 23:00:00,39056.12,39069.87,39041.62,39066.87
2024-05-09 01:00:00,39044.65,39075.15,39044.65,39066.4
2024-05-09 02:00:00,39066.4,39067.65,39053.4,39057.15
2024-05-09 03:00:00,39057.15,39062.15,39045.65,39055.15
2024-05-09 04:00:00,39055.4,39062.15,39040.4,39059.4
2024-05-09 05:00:00,39059.65,39060.4,39038.65,39042.9
2024-05-09 06:00:00,39042.9,39048.15,39027.15,39029.15
2024-05-09 07:00:00,39029.15,39032.65,39021.9,39023.15
2024-05-09 08:00:00,39023.15,39030.15,39016.65,39022.15
2024-05-09 09:00:00,39022.15,39028.75,38992.75,38994.5
2024-05-09 10:00:00,38994.5,39022.0,38988.75,39002.25
2024-05-09 11:00:00,39002.25,39013.75,38977.75,38980.25
2024-05-09 12:00:00,38980.0,38989.75,38949.5,38970.5
2024-05-09 13:00:00,38970.5,39005.5,38969.25,38982.0
2024-05-09 14:00:00,38982.5,39003.75,38960.25,38989.75
2024-05-09 15:00:00,38989.25,39026.25,38955.5,38993.25
2024-05-09 16:00:00,38993.25,39125.5,38973.25,39125.0
2024-05-09 17:00:00,39125.0,39273.75,39117.0,39246.0
2024-05-09 18:00:00,39245.0,39259.25,39207.5,39213.5
2024-05-09 19:00:00,39213.5,39266.75,39199.0,39259.5
2024-05-09 20:00:00,39259.0,39330.0,39252.5,39310.25
2024-05-09 21:00:00,39310.0,39384.5,39296.0,39373.5
2024-05-09 22:00:00,39373.5,39420.25,39363.0,39400.15
2024-05-09 23:00:00,39400.4,39454.15,39398.15,39427.9
2024-05-10 01:00:00,39425.87,39463.37,39425.87,39453.37
2024-05-10 02:00:00,39453.37,39464.87,39448.87,39450.12
2024-05-10 03:00:00,39449.87,39458.87,39442.12,39457.87
2024-05-10 04:00:00,39457.87,39462.87,39435.12,39435.87
2024-05-10 05:00:00,39435.87,39442.87,39431.37,39439.87
2024-05-10 06:00:00,39439.87,39444.87,39430.37,39435.37
2024-05-10 07:00:00,39435.37,39454.37,39435.12,39453.62
2024-05-10 08:00:00,39453.37,39462.87,39447.12,39451.37
2024-05-10 09:00:00,39451.37,39474.47,39448.87,39467.97
2024-05-10 10:00:00,39467.97,39498.72,39467.97,39492.97
2024-05-10 11:00:00,39492.97,39504.97,39457.22,39502.22
2024-05-10 12:00:00,39502.72,39539.72,39497.97,39522.22
2024-05-10 13:00:00,39519.47,39525.97,39508.47,39509.97
2024-05-10 14:00:00,39509.97,39518.97,39480.47,39484.97
2024-05-10 15:00:00,39484.97,39512.97,39474.47,39486.97
2024-05-10 16:00:00,39486.97,39585.22,39483.47,39561.72
2024-05-10 17:00:00,39561.72,39561.72,39442.72,39475.22
2024-05-10 18:00:00,39475.22,39486.22,39399.72,39451.22
2024-05-10 19:00:00,39450.72,39510.72,39426.22,39494.72
2024-05-10 20:00:00,39494.72,39497.72,39455.22,39492.72
2024-05-10 21:00:00,39492.72,39502.72,39443.22,39498.22
2024-05-10 22:00:00,39498.22,39543.22,39475.97,39503.37
2024-05-10 23:00:00,39503.87,39506.37,39478.37,39488.12
2024-05-13 01:00:00,39511.79,39521.04,39465.54,39512.04
2024-05-13 02:00:00,39512.04,39522.04,39510.79,39518.54
2024-05-13 03:00:00,39518.54,39525.54,39504.04,39521.04
2024-05-13 04:00:00,39521.04,39525.54,39513.79,39522.04
2024-05-13 05:00:00,39522.04,39525.54,39504.79,39508.04
2024-05-13 06:00:00,39507.79,39538.04,39504.29,39525.04
2024-05-13 07:00:00,39525.04,39532.54,39516.04,39531.54
2024-05-13 08:00:00,39531.79,39542.79,39524.04,39535.04
2024-05-13 09:00:00,39534.04,39552.89,39523.39,39537.14
2024-05-13 10:00:00,39537.14,39548.64,39520.14,39539.64
2024-05-13 11:00:00,39539.64,39567.64,39532.64,39535.89
2024-05-13 12:00:00,39536.14,39560.14,39530.14,39558.14
2024-05-13 13:00:00,39558.14,39568.64,39551.14,39562.14
2024-05-13 14:00:00,39562.14,39602.14,39550.89,39596.64
2024-05-13 15:00:00,39595.89,39620.64,39582.14,39604.14
2024-05-13 16:00:00,39604.14,39666.39,39590.89,39635.89
2024-05-13 17:00:00,39635.89,39637.89,39546.89,39566.39
2024-05-13 18:00:00,39566.39,39572.39,39492.89,39512.89
2024-05-13 19:00:00,39512.89,39532.89,39485.89,39486.64
2024-05-13 20:00:00,39486.89,39486.89,39406.39,39448.39
2024-05-13 21:00:00,39448.14,39472.89,39420.64,39453.89
2024-05-13 22:00:00,39453.39,39481.89,39425.54,39448.54
2024-05-13 23:00:00,39447.04,39457.29,39411.54,39439.04
2024-05-14 01:00:00,39436.9,39448.4,39433.15,39445.4
2024-05-14 02:00:00,39445.4,39463.4,39444.4,39459.4
2024-05-14 03:00:00,39459.4,39464.65,39445.65,39447.4
2024-05-14 04:00:00,39447.15,39451.9,39438.4,39449.9
2024-05-14 05:00:00,39449.9,39454.9,39442.9,39443.4
2024-05-14 06:00:00,39443.4,39446.65,39436.4,39442.9
2024-05-14 07:00:00,39442.9,39447.9,39438.4,39444.4
2024-05-14 08:00:00,39444.4,39462.4,39439.9,39460.65
2024-05-14 09:00:00,39459.9,39463.25,39450.5,39452.25
2024-05-14 10:00:00,39452.0,39467.0,39436.0,39462.5
2024-05-14 11:00:00,39462.5,39475.0,39448.25,39469.5
2024-05-14 12:00:00,39469.5,39476.25,39461.5,39475.75
2024-05-14 13:00:00,39475.75,39518.0,39416.5,39507.25
2024-05-14 14:00:00,39507.25,39507.25,39463.5,39488.0
2024-05-14 15:00:00,39487.75,39512.5,39300.0,39482.75
2024-05-14 16:00:00,39483.25,39534.75,39438.5,39503.75
2024-05-14 17:00:00,39502.75,39562.75,39417.75,39497.75
2024-05-14 18:00:00,39498.25,39506.5,39424.75,39434.25
2024-05-14 19:00:00,39433.75,39451.25,39414.25,39426.25
2024-05-14 20:00:00,39426.25,39430.25,39381.5,39417.25
2024-05-14 21:00:00,39417.25,39595.25,39412.25,39574.0
2024-05-14 22:00:00,39573.75,39629.25,39550.25,39567.9
2024-05-14 23:00:00,39566.9,39581.4,39550.4,39576.4
2024-05-15 01:00:00,39560.59,39595.84,39558.59,39593.84
2024-05-15 02:00:00,39593.84,39594.59,39578.84,39584.59
2024-05-15 03:00:00,39584.59,39597.84,39578.34,39587.34
2024-05-15 04:00:00,39587.59,39605.84,39582.34,39603.59
2024-05-15 05:00:00,39603.59,39620.34,39600.34,39608.09
2024-05-15 06:00:00,39608.09,39620.34,39606.84,39610.34
2024-05-15 07:00:00,39610.34,39611.84,39584.34,39585.34
2024-05-15 08:00:00,39585.34,39597.59,39580.34,39592.84
2024-05-15 09:00:00,39592.84,39602.44,39573.94,39578.94
2024-05-15 10:00:00,39578.94,39589.44,39562.19,39575.44
2024-05-15 11:00:00,39575.19,39586.44,39557.19,39584.69
2024-05-15 12:00:00,39584.69,39595.94,39572.94,39585.69
2024-05-15 13:00:00,39585.44,39600.19,39575.94,39590.69
2024-05-15 14:00:00,39590.44,39590.94,39565.44,39574.44
2024-05-15 15:00:00,39574.69,39790.69,39546.44,39726.69
2024-05-15 16:00:00,39726.69,39812.44,39684.69,39705.94
2024-05-15 17:00:00,39705.94,39790.19,39696.19,39776.19
2024-05-15 18:00:00,39775.94,39860.94,39767.94,39818.19
2024-05-15 19:00:00,39818.44,39868.19,39775.19,39858.19
2024-05-15 20:00:00,39858.19,39882.19,39822.19,39864.44
2024-05-15 21:00:00,39864.69,39884.69,39831.19,39862.19
2024-05-15 22:00:00,39862.19,39958.19,39841.69,39940.84
2024-05-15 23:00:00,39941.84,39941.84,39895.84,39926.09
2024-05-16 01:00:00,39894.7,39927.2,39885.95,39919.45
2024-05-16 02:00:00,39919.45,39956.45,39919.2,39948.2
2024-05-16 03:00:00,39948.2,39972.95,39948.2,39972.7
2024-05-16 04:00:00,39972.7,39978.7,39961.95,39969.2
2024-05-16 05:00:00,39969.2,39975.7,39958.2,39974.7
2024-05-16 06:00:00,39974.7,39988.2,39971.95,39986.2
2024-05-16 07:00:00,39986.2,39986.45,39971.7,39972.7
2024-05-16 08:00:00,39972.7,39974.45,39957.7,39958.45
2024-05-16 09:00:00,39958.45,39958.7,39931.3,39941.3
2024-05-16 10:00:00,39941.3,39949.8,39921.3,39934.3
2024-05-16 11:00:00,39933.3,39941.8,39918.3,39930.8
2024-05-16 12:00:00,39930.8,39948.8,39924.8,39930.8
2024-05-16 13:00:00,39931.05,39941.05,39908.3,39921.8
2024-05-16 14:00:00,39921.8,39948.8,39915.3,39915.3
2024-05-16 15:00:00,39914.8,39950.8,39891.3,39903.3
2024-05-16 16:00:00,39903.3,39967.3,39879.55,39914.05
2024-05-16 17:00:00,39913.55,40056.05,39905.55,40048.05
2024-05-16 18:00:00,40048.8,40056.05,39968.05,40020.55
2024-05-16 19:00:00,40020.05,40022.05,39968.05,39997.55
2024-05-16 20:00:00,39997.55,40009.05,39901.55,39943.8
2024-05-16 21:00:00,39943.8,39979.55,39873.05,39974.05
2024-05-16 22:00:00,39974.55,39983.05,39866.95,39875.7
2024-05-16 23:00:00,39872.45,39887.2,39844.2,39858.2
2024-05-17 01:00:00,39882.57,39889.07,39867.57,39883.57
2024-05-17 02:00:00,39883.57,39895.32,39877.82,39888.07
2024-05-17 03:00:00,39888.57,39899.07,39882.57,39894.57
2024-05-17 04:00:00,39894.57,39900.57,39886.07,39890.57
2024-05-17 05:00:00,39890.57,39893.07,39871.07,39873.57
2024-05-17 06:00:00,39873.82,39875.57,39855.07,39856.57
2024-05-17 07:00:00,39856.82,39864.07,39854.07,39860.82
2024-05-17 08:00:00,39860.82,39867.57,39854.07,39864.57
2024-05-17 09:00:00,39864.57,39891.17,39861.82,39874.17
2024-05-17 10:00:00,39874.17,39897.17,39866.17,39866.42
2024-05-17 11:00:00,39866.42,39869.17,39827.17,39847.92
2024-05-17 12:00:00,39847.92,39882.17,39847.92,39864.92
2024-05-17 13:00:00,39864.92,39879.42,39855.17,39876.42
2024-05-17 14:00:00,39875.67,39908.17,39858.42,39890.17
2024-05-17 15:00:00,39890.17,39908.67,39876.67,39905.67
2024-05-17 16:00:00,39905.67,39938.42,39845.17,39919.92
2024-05-17 17:00:00,39919.92,39934.67,39887.92,39918.17
2024-05-17 18:00:00,39917.92,39919.17,39863.42,39901.92
2024-05-17 19:00:00,39901.42,39937.42,39885.92,39935.42
2024-05-17 20:00:00,39935.42,39957.92,39918.42,39939.42
2024-05-17 21:00:00,39939.42,39966.17,39858.42,39953.42
2024-05-17 22:00:00,39953.42,40016.07,39936.42,40010.82
2024-05-17 23:00:00,40010.07,40010.07,39988.07,40004.82
2024-05-20 01:00:00,40044.86,40062.61,40040.11,40045.61
2024-05-20 02:00:00,40045.61,40067.61,40045.11,40062.61
2024-05-20 03:00:00,40062.61,40070.86,40042.11,40066.61
2024-05-20 04:00:00,40066.61,40075.11,40055.61,40062.11
2024-05-20 05:00:00,40062.11,40067.86,40053.11,40063.86
2024-05-20 06:00:00,40063.61,40065.11,40052.11,40053.61
2024-05-20 07:00:00,40053.61,40061.61,40046.61,40053.11
2024-05-20 08:00:00,40053.11,40059.61,40047.61,40059.36
2024-05-20 09:00:00,40059.36,40059.36,40036.11,40037.46
2024-05-20 10:00:00,40037.46,40051.21,40031.71,40045.71
2024-05-20 11:00:00,40045.71,40046.21,40015.46,40028.71
2024-05-20 12:00:00,40028.71,40032.21,40017.21,40028.71
2024-05-20 13:00:00,40028.71,40046.71,40026.46,40040.71
2024-05-20 14:00:00,40040.96,40051.21,40028.46,40048.71
2024-05-20 15:00:00,40048.71,40063.21,40005.71,40020.71
2024-05-20 16:00:00,40020.71,40031.21,39918.96,40013.46
2024-05-20 17:00:00,40013.96,40082.46,39974.46,40070.46
2024-05-20 18:00:00,40070.46,40095.71,40031.46,40035.46
2024-05-20 19:00:00,40035.46,40044.71,39980.46,39992.71
2024-05-20 20:00:00,39991.96,40009.96,39884.96,39893.46
2024-05-20 21:00:00,39893.71,39901.46,39806.46,39839.46
2024-05-20 22:00:00,39839.46,39872.46,39807.21,39833.61
2024-05-20 23:00:00,39837.11,39854.36,39802.11,39826.36
2024-05-21 00:00:00,39826.36,39826.36,39826.36,39826.36
2024-05-21 01:00:00,39829.47,39838.97,39805.97,39810.97
2024-05-21 02:00:00,39810.97,39817.47,39804.97,39814.47
2024-05-21 03:00:00,39814.47,39830.97,39808.97,39821.47
2024-05-21 04:00:00,39821.47,39826.47,39814.22,39818.47
2024-05-21 05:00:00,39818.47,39829.97,39813.47,39823.97
2024-05-21 06:00:00,39823.97,39832.97,39822.47,39831.97
2024-05-21 07:00:00,39831.97,39842.97,39830.97,39842.47
2024-05-21 08:00:00,39842.72,39845.97,39830.47,39832.72
2024-05-21 09:00:00,39832.97,39850.07,39829.57,39831.07
2024-05-21 10:00:00,39831.57,39855.57,39829.57,39837.07
2024-05-21 11:00:00,39837.07,39839.07,39813.57,39831.07
2024-05-21 12:00:00,39831.07,39845.82,39813.07,39814.07
2024-05-21 13:00:00,39814.07,39845.32,39814.07,39845.32
2024-05-21 14:00:00,39845.57,39848.57,39829.07,39841.82
2024-05-21 15:00:00,39841.82,39858.07,39812.07,39838.07
2024-05-21 16:00:00,39838.07,39873.82,39797.82,39853.32
2024-05-21 17:00:00,39853.32,39907.32,39845.82,39859.32
2024-05-21 18:00:00,39859.32,39907.82,39841.82,39850.32
2024-05-21 19:00:00,39850.32,39857.32,39819.82,39835.32
2024-05-21 20:00:00,39834.82,39869.57,39796.82,39868.82
2024-05-21 21:00:00,39868.82,39878.82,39832.82,39848.82
2024-05-21 22:00:00,39848.82,39921.82,39833.32,39898.97
2024-05-21 23:00:00,39898.97,39899.72,39876.47,39883.47
2024-05-22 01:00:00,39883.84,39911.34,39883.84,39906.84
2024-05-22 02:00:00,39906.84,39915.34,39906.84,39911.84
2024-05-22 03:00:00,39911.84,39916.34,39902.84,39905.34
2024-05-22 04:00:00,39905.09,39918.84,39896.09,39916.84
2024-05-22 05:00:00,39916.84,39926.34,39908.34,39912.34
2024-05-22 06:00:00,39912.34,39912.84,39903.59,39906.34
2024-05-22 07:00:00,39906.59,39907.84,39896.34,39902.84
2024-05-22 08:00:00,39902.84,39912.84,39896.84,39910.09
2024-05-22 09:00:00,39909.84,39911.09,39867.94,39869.94
2024-05-22 10:00:00,39869.94,39883.19,39839.94,39881.44
2024-05-22 11:00:00,39881.44,39886.44,39854.69,39864.44
2024-05-22 12:00:00,39863.94,39872.44,39843.94,39862.19
2024-05-22 13:00:00,39862.19,39872.19,39847.44,39852.94
2024-05-22 14:00:00,39853.44,39860.94,39798.44,39804.44
2024-05-22 15:00:00,39804.69,39840.94,39799.19,39829.44
2024-05-22 16:00:00,39829.44,39903.19,39803.44,39877.19
2024-05-22 17:00:00,39877.19,39904.19,39851.19,39871.19
2024-05-22 18:00:00,39871.19,39881.19,39775.19,39810.69
2024-05-22 19:00:00,39810.69,39872.94,39806.69,39850.69
2024-05-22 20:00:00,39850.69,39874.19,39714.69,39754.69
2024-05-22 21:00:00,39754.69,39754.69,39565.19,39624.19
2024-05-22 22:00:00,39624.19,39713.19,39585.19,39685.59
2024-05-22 23:00:00,39688.34,39730.84,39589.09,39617.34
2024-05-23 01:00:00,39634.36,39635.11,39597.11,39614.11
2024-05-23 02:00:00,39614.11,39640.61,39613.61,39635.11
2024-05-23 03:00:00,39635.11,39639.61,39618.11,39622.11
2024-05-23 04:00:00,39622.11,39660.11,39613.11,39654.36
2024-05-23 05:00:00,39654.36,39721.61,39647.61,39721.61
2024-05-23 06:00:00,39723.11,39757.61,39707.11,39747.11
2024-05-23 07:00:00,39747.11,39759.11,39734.11,39734.11
2024-05-23 08:00:00,39734.11,39736.86,39719.61,39722.11
2024-05-23 09:00:00,39722.11,39731.21,39704.21,39707.46
2024-05-23 10:00:00,39707.21,39723.21,39696.71,39709.21
2024-05-23 11:00:00,39709.21,39710.46,39671.96,39677.21
2024-05-23 12:00:00,39677.21,39721.21,39670.71,39714.96
2024-05-23 13:00:00,39714.96,39733.21,39711.71,39732.71
2024-05-23 14:00:00,39732.71,39755.46,39711.21,39741.21
2024-05-23 15:00:00,39741.21,39779.71,39734.21,39744.21
2024-05-23 16:00:00,39744.21,39751.21,39412.46,39436.46
2024-05-23 17:00:00,39436.46,39484.96,39359.96,39367.96
2024-05-23 18:00:00,39368.46,39443.46,39349.46,39412.96
2024-05-23 19:00:00,39413.21,39430.96,39274.96,39279.96
2024-05-23 20:00:00,39278.96,39316.46,39106.96,39119.46
2024-05-23 21:00:00,39118.96,39125.96,39015.96,39031.46
2024-05-23 22:00:00,39031.21,39089.96,39012.46,39057.61
2024-05-23 23:00:00,39059.61,39061.61,39026.61,39038.11
2024-05-24 01:00:00,39056.48,39066.73,39035.98,39040.48
2024-05-24 02:00:00,39040.48,39067.48,39038.98,39045.48
2024-05-24 03:00:00,39045.48,39083.73,39038.73,39080.48
2024-05-24 04:00:00,39080.73,39101.98,39077.98,39095.48
2024-05-24 05:00:00,39095.48,39110.48,39093.98,39104.48
2024-05-24 06:00:00,39104.73,39107.48,39087.23,39090.48
2024-05-24 07:00:00,39090.73,39099.48,39081.98,39088.48
2024-05-24 08:00:00,39088.48,39088.48,39070.98,39083.48
2024-05-24 09:00:00,39083.48,39085.73,39041.58,39048.58
2024-05-24 10:00:00,39048.83,39104.83,39044.58,39101.58
2024-05-24 11:00:00,39101.58,39120.08,39087.83,39115.58
2024-05-24 12:00:00,39115.58,39120.08,39094.58,39106.83
2024-05-24 13:00:00,39106.83,39127.58,39101.58,39110.58
2024-05-24 14:00:00,39110.58,39122.58,39085.08,39110.83
2024-05-24 15:00:00,39110.83,39146.58,39072.08,39110.08
2024-05-24 16:00:00,39110.08,39184.33,39070.83,39077.08
2024-05-24 17:00:00,39076.33,39148.08,39031.83,39121.83
2024-05-24 18:00:00,39122.33,39218.33,39105.33,39157.83
2024-05-24 19:00:00,39157.83,39188.83,39117.83,39117.83
2024-05-24 20:00:00,39117.83,39165.58,39108.58,39119.83
2024-05-24 21:00:00,39119.83,39146.83,39056.33,39057.08
2024-05-24 22:00:00,39056.83,39086.58,39010.83,39057.48
2024-05-24 23:00:00,39056.48,39073.73,39046.73,39054.48
2024-05-27 01:00:00,39077.25,39092.25,39064.0,39067.75
2024-05-27 02:00:00,39067.75,39067.75,39031.75,39041.75
2024-05-27 03:00:00,39041.75,39056.75,39036.0,39051.75
2024-05-27 04:00:00,39052.0,39064.25,39017.5,39062.25
2024-05-27 05:00:00,39062.25,39066.25,39019.75,39038.75
2024-05-27 06:00:00,39039.0,39050.25,39039.0,39041.75
2024-05-27 07:00:00,39042.0,39051.25,39038.75,39049.75
2024-05-27 08:00:00,39049.75,39074.25,39049.0,39074.25
2024-05-27 09:00:00,39074.25,39078.6,39038.1,39048.85
2024-05-27 10:00:00,39048.85,39062.1,39031.85,39046.85
2024-05-27 11:00:00,39047.85,39059.35,39027.35,39029.85
2024-05-27 12:00:00,39029.85,39050.6,39023.85,39046.85
2024-05-27 13:00:00,39046.85,39065.85,39044.1,39062.85
2024-05-27 14:00:00,39062.85,39067.35,39040.85,39044.35
2024-05-27 15:00:00,39044.35,39065.35,39036.85,39038.35
2024-05-27 16:00:00,39038.35,39073.1,39028.6,39031.1
2024-05-27 17:00:00,39031.1,39097.1,39029.1,39089.1
2024-05-27 18:00:00,39089.1,39100.35,39069.1,39100.1
2024-05-27 19:00:00,39100.1,39140.1,39096.1,39138.85
2024-05-28 01:00:00,39158.87,39158.87,39105.12,39129.62
2024-05-28 02:00:00,39129.62,39129.62,39108.62,39109.12
2024-05-28 03:00:00,39109.12,39118.62,39095.37,39101.12
2024-05-28 04:00:00,39100.87,39113.12,39090.62,39109.37
2024-05-28 05:00:00,39109.37,39118.62,39106.87,39116.12
2024-05-28 06:00:00,39115.87,39120.62,39112.37,39116.62
2024-05-28 07:00:00,39116.62,39126.12,39111.37,39111.37
2024-05-28 08:00:00,39111.62,39121.12,39103.87,39120.12
2024-05-28 09:00:00,39120.12,39130.72,39095.47,39119.22
2024-05-28 10:00:00,39119.22,39147.22,39099.47,39111.22
2024-05-28 11:00:00,39111.22,39125.72,39096.72,39105.47
2024-05-28 12:00:00,39105.47,39118.22,39098.72,39105.22
2024-05-28 13:00:00,39105.22,39106.72,39024.72,39056.72
2024-05-28 14:00:00,39056.72,39058.47,39032.72,39052.22
2024-05-28 15:00:00,39052.22,39068.72,39012.72,39058.47
2024-05-28 16:00:00,39058.47,39061.22,38923.47,38950.97
2024-05-28 17:00:00,38951.97,38979.47,38904.97,38941.97
2024-05-28 18:00:00,38941.97,38964.97,38918.47,38939.97
2024-05-28 19:00:00,38940.47,38947.97,38872.97,38879.97
2024-05-28 20:00:00,38880.22,38884.22,38776.97,38808.47
2024-05-28 21:00:00,38807.97,38828.97,38716.97,38791.47
2024-05-28 22:00:00,38790.97,38882.37,38770.97,38880.12
2024-05-28 23:00:00,38880.62,38906.37,38841.87,38849.12
2024-05-29 01:00:00,38846.48,38848.23,38820.48,38829.98
2024-05-29 02:00:00,38829.98,38835.98,38804.98,38812.48
2024-05-29 03:00:00,38812.48,38825.48,38780.98,38792.48
2024-05-29 04:00:00,38792.48,38801.48,38774.48,38792.48
2024-05-29 05:00:00,38792.48,38801.48,38764.98,38767.48
2024-05-29 06:00:00,38767.48,38769.48,38745.48,38750.98
2024-05-29 07:00:00,38750.73,38770.23,38746.98,38767.98
2024-05-29 08:00:00,38767.98,38771.98,38711.73,38716.23
2024-05-29 09:00:00,38716.48,38752.08,38690.48,38729.83
2024-05-29 10:00:00,38729.83,38747.58,38676.58,38677.58
2024-05-29 11:00:00,38677.58,38730.08,38662.58,38697.58
2024-05-29 12:00:00,38697.58,38712.58,38658.58,38664.33
