epoch,train_loss,val_loss,val_acc,val_macro_f1
1,0.6944202099094852,0.7485321164131165,0.3869047619047619,0.3842650250862897
2,0.6837557753432054,0.7717183232307434,0.44642857142857145,0.3994234095714011
3,0.6823667619552516,0.7721203565597534,0.44047619047619047,0.3907407407407407
4,0.6780316457057696,0.7571306824684143,0.4642857142857143,0.42857142857142855
5,0.6603472279017883,0.7714464068412781,0.4107142857142857,0.4013605442176871
6,0.6571288612473571,0.7893643379211426,0.36904761904761907,0.3646353646353646
7,0.6557770036681635,0.7978425621986389,0.36904761904761907,0.3452941176470588
8,0.658193930055771,0.7947770357131958,0.3869047619047619,0.378961346588666
9,0.6444352016970042,0.7927651405334473,0.43452380952380953,0.432089100807743
10,0.6457579372192732,0.779879629611969,0.48214285714285715,0.47798135647701706
11,0.6491751625395488,0.77360999584198,0.5059523809523809,0.5029762965603279
12,0.6446243968367426,0.7739874720573425,0.5119047619047619,0.5107954545454545
13,0.6480518368178129,0.7784846425056458,0.5178571428571429,0.5170186335403727
14,0.6470885295728565,0.8211326599121094,0.4880952380952381,0.48627506755795763
15,0.6499566597890066,0.8496350049972534,0.4583333333333333,0.4497354497354497
16,0.6405503266648386,0.8219438195228577,0.4523809523809524,0.45230333097094255
17,0.6400682404353325,0.7877939939498901,0.5,0.4928119608970673
18,0.6451955548235543,0.7544068098068237,0.5,0.49822215901009814
19,0.6358760523371957,0.7370496392250061,0.48214285714285715,0.4812422360248447
20,0.6459481265523686,0.746456503868103,0.5238095238095238,0.5169637722829212
21,0.6230304691055375,0.7789056897163391,0.4642857142857143,0.453125
