time,open,high,low,close,tick_volume,ema20,ema50,atr14,adx14,rsi14,zscore,dist_ema20_atr,dist_ema50_atr,bb_width_atr,bb_percent_b,touch_bb_upper,touch_bb_lower,close_outside_upper,close_outside_lower,range_atr,body_atr,upper_wick_ratio,lower_wick_ratio,close_position,ema20_slope,ema50_slope,ema_distance_atr,roc_1,roc_3,roc_5,hour,day_of_week,dist_pivot_atr,dist_r1_atr,dist_r2_atr,dist_s1_atr,dist_s2_atr,near_r1,near_r2,near_s1,near_s2,dist_fractal_high_atr,dist_fractal_low_atr,direction,label
2024-01-03 13:00:00,1.0928,1.09298,1.09155,1.0919699999999999,2750,1.095275995980339,1.0980586413529005,0.0010421428571428962,33.97207392640792,37.03703703703665,-2.535622067226589,-3.17230594412249,-5.842424875983964,5.280076954936511,-0.007124413445320873,0,1,0,1,1.3721727210417987,0.7964359150103553,0.1258741258741704,0.29370629370619056,0.29370629370619056,-0.9592390461192005,-0.8914849891372952,-2.6701189318614738,-0.0007595168374817662,-0.003022058286465734,-0.003567908895134586,13,2,-5.283984464244819,-8.783184829791779,-15.484121544436269,1.416952250399672,4.916152615946633,0,0,0,0,-4.385195339273488,-1.7368060315284648,1,0.0
2024-01-04 10:00:00,1.09376,1.0956,1.09347,1.09534,3832,1.0930043437574433,1.0948221351043737,0.0011214285714285907,23.663789792836667,84.79532163742508,2.7769723836428963,2.082750789540985,0.4617903527878021,5.075178513212212,1.0553944767285754,1,0,1,0,1.899363057324777,1.408917197452129,0.12206572769949821,0.13615023474184423,0.8779342723005018,0.3804559714170167,-0.24511809032810483,-1.620960436753183,0.0014445582211819463,0.002452730034960604,0.00247107922096923,10,3,2.3690021231420877,-0.6390658174099821,-4.0781316348196475,5.808067940551752,8.816135881103822,0,0,0,0,2.0152866242037235,2.8891719745221627,-1,0.0
2024-01-04 11:00:00,1.09533,1.09692,1.09454,1.09676,3633,1.0933620253043534,1.0948981298061629,0.0010571428571428676,26.658773596305164,85.28995756718388,2.841952914933229,3.2143003877736946,1.7612285617377805,7.242830687174507,1.0683905829866382,1,0,1,0,2.251351351351165,1.3527027027027294,0.06722689075628135,0.3319327731092033,0.9327731092437187,0.7381274654881645,-0.0962497971509211,-1.453071826035914,0.00129640111746121,0.0032014342425406017,0.00378905749482894,11,3,3.8563063063061165,0.6653153153150464,-2.982882882883071,7.504504504504234,10.695495495495305,0,0,0,0,3.481081081080957,4.408108108107957,-1,1.0
2024-01-05 08:00:00,1.09374,1.09374,1.09249,1.09279,1779,1.0942588985492083,1.0947129289517044,0.0007899999999999892,29.627930396703032,18.34451901566011,-2.7880143820378835,-1.8593652521625537,-2.4340872806385496,4.215603991386458,-0.05760287640759664,0,1,0,1,1.5822784810126462,1.2025316455696449,0.0,0.23999999999997867,0.23999999999997867,-0.45628771326926393,-0.2693733680319936,-0.5747220284759961,-0.0008777142857143705,-0.0010512459549884001,-0.0021731785932778136,8,4,-1.7510548523206468,-6.1476793248943995,-10.016877637130792,2.118143459915745,6.514767932489498,0,0,0,0,-3.582278481012847,-1.4050632911394705,1,0.0
2024-01-05 09:00:00,1.09279,1.09336,1.09227,1.09233,2207,1.0940751939254743,1.09461948075752,0.0007385714285714139,32.58743710108473,18.764302059497624,-2.605278728592578,-2.3629318139883675,-3.0998772345532553,5.70111669924395,-0.021055745718527023,0,1,0,1,1.4758220502902126,0.6228239845259959,0.5229357798166633,0.05504587155958444,0.05504587155958444,-0.747187529089088,-0.40267038925771015,-0.7369454205648878,-0.00042094089440780635,-0.0012891546436994972,-0.0021649767059468417,9,4,-2.4958091553834887,-7.19858156028349,-11.33720180528685,1.6428110896198729,6.345583494519874,0,0,0,0,-4.454545454545563,-2.125725338491435,1,0.0
2024-01-05 10:00:00,1.09229,1.09259,1.09034,1.09078,3116,1.093761365932572,1.0944689128846763,0.0008392857142856933,36.31213223717258,14.748201438849676,-3.010798091713778,-3.5522657920006773,-4.395300458337722,6.9669800411045815,-0.10215961834275984,0,1,0,1,2.6808510638296914,1.7991489361701392,0.13333333333332675,0.19555555555556564,0.19555555555556564,-0.9534851548725557,-0.48810509707321387,-0.8430346663370447,-0.0014189851052337499,-0.00271542857142848,-0.0028886410589245015,10,4,-4.043120567375754,-8.181560283687777,-11.823546099290754,-0.4011347517727774,3.737304964539245,0,0,0,0,-5.7668085106383895,-3.7174468085107453,1,0.0
2024-01-08 16:00:00,1.0951,1.09628,1.09495,1.09603,4658,1.0943295057734368,1.0942759125674333,0.001121428571428559,18.777153297431173,57.53604193971132,2.685956942963657,1.5163642784640747,1.5641543984672055,2.9605503725059648,1.0371913885927477,1,0,1,0,1.1859872611463596,0.8292993630574209,0.18796992481194974,0.11278195488713645,0.8120300751880503,0.29048020201214364,0.09778438445547058,0.04779012000313089,0.0008583769370555938,0.0020296029474955457,0.002112057930731881,16,0,1.905307855626554,-3.6263269639062226,-8.929087048832061,7.208067940552392,12.739702760085168,0,0,0,0,0.7044585987261834,3.3528662420382407,-1,0.0
2024-01-08 17:00:00,1.09603,1.09747,1.09554,1.09698,3883,1.0945819337950142,1.0943819552118477,0.0012157142857142725,19.285846789731135,62.676056338029,2.8945794853721796,1.9725573954055289,2.137052117164158,3.7105905535588297,1.0789158970744361,1,0,1,0,1.5875440658049422,0.7814336075205778,0.2538860103626335,0.25388601036274855,0.7461139896373665,0.4562985962178217,0.1747258438302809,0.16449472175862942,0.0008667645958595482,0.0022841897522112298,0.0024948594928033696,17,0,2.5389737563652837,-2.563650607128522,-7.4551508029766795,7.4304739522134415,12.533098315707248,0,0,0,0,1.4312573443008998,3.8742655699177795,-1,1.0
2024-01-08 18:00:00,1.097,1.09789,1.09684,1.09755,3439,1.0948646067669177,1.0945061922623636,0.0012042857142857053,22.03846684379028,73.78277153558088,2.6294898911069082,2.2298638946117095,2.527479734692217,4.7376458740928875,1.0258979782213749,1,0,1,0,0.871886120996444,0.4567022538553241,0.3238095238095319,0.15238095238089397,0.6761904761904681,0.712528498121478,0.29125422654575145,0.29761584008050757,0.0005196083793688189,0.0022463907076131218,0.003419241001636486,18,0,3.036378015025888,-2.1146698299719935,-7.05258995650434,7.974298141558235,13.125345986556116,0,0,0,0,-0.2823250296559984,4.384341637010668,-1,1.0
2024-01-09 17:00:00,1.09466,1.09468,1.09178,1.0918,4309,1.09451480007489,1.0946829534964277,0.0012328571428571783,18.78477816349403,25.560538116592483,-2.7804991214818537,-2.2020394581957654,-2.3384327317488895,4.461839700460211,-0.05609982429637735,0,1,0,1,2.3522595596755838,2.3198146002315716,0.006896551724182815,0.006896551724182815,0.006896551724182815,-0.4921150962001493,-0.192123106596398,-0.13639327355312428,-0.0025215611752666955,-0.002065700235818757,-0.0016185520817139087,17,1,-2.6496716879102022,-4.918115102355781,-7.208188489764035,-0.35959830050194835,1.9088451139436307,0,0,0,0,-2.7010428736961947,-2.1900347624564227,1,1.0
