time,open,high,low,close,tick_volume,ema20,ema50,atr14,adx14,rsi14,zscore,dist_ema20_atr,dist_ema50_atr,bb_width_atr,bb_percent_b,touch_bb_upper,touch_bb_lower,close_outside_upper,close_outside_lower,range_atr,body_atr,upper_wick_ratio,lower_wick_ratio,close_position,ema20_slope,ema50_slope,ema_distance_atr,roc_1,roc_3,roc_5,hour,day_of_week,dist_pivot_atr,dist_r1_atr,dist_r2_atr,dist_s1_atr,dist_s2_atr,near_r1,near_r2,near_s1,near_s2,dist_fractal_high_atr,dist_fractal_low_atr,direction,label,prob_success,prediction
2025-10-10 18:00:00,1.15787,1.16309,1.15782,1.16125,9816,1.1578336975509127,1.1594888413007245,0.0015278571428571,23.12518744751308,75.30612244897875,3.7195631608023016,2.236009083086544,1.1526985409003716,3.5514055947650136,1.2439126321604506,1,0,1,0,3.4492753623187986,2.212248714352482,0.3491461100569457,0.0094876660341336,0.6508538899430544,0.1108658663073124,-0.2217746252503877,-1.0833105421861722,0.0029191532728198,0.0034998271690285,0.0035345155380412,18,4,1.8042699080566444,-0.999220819697839,-5.146641732897186,5.951690821255992,8.755181549010475,0,0,0,0,-1.2043010752688703,3.4689107059372954,-1,0.0,0.6890248,1
2025-10-22 13:00:00,1.15946,1.1597,1.15828,1.15858,2398,1.1605321214242272,1.162095429299466,0.0008507142857142,34.20506819462803,36.89320388349548,-2.6483580687966297,-2.2946851334325697,-4.132326632453863,3.9547339767538254,-0.0296716137593438,0,1,0,1,1.6691855583542845,1.0344248530646345,0.1690140845070576,0.211267605633783,0.211267605633783,-0.659892716127072,-0.6153483631301228,-1.8376414990212924,-0.0007848278122277,-0.0012930142748776,-0.002393745264173,13,2,-3.718443884690534,-6.038063252168623,-10.489224741113643,0.7327176042544858,3.052336971732575,0,0,0,0,-3.514693534844699,-0.1998320738874921,1,0.0,0.658741,1
2025-10-24 15:00:00,1.16154,1.16477,1.16088,1.16342,5975,1.1613483571552792,1.161154174968526,0.0011085714285714,28.207770162709043,63.27868852459077,3.1852972474758827,1.8687499887944152,2.0439143325149405,2.7873517366295237,1.1370594494951611,1,0,1,0,3.50902061855676,1.695876288659641,0.347043701799518,0.169665809768657,0.652956298200482,0.2616109029784515,0.1152605466690181,0.1751643437205252,0.0016444111544453,0.0019204436827737,0.0013857687573699,15,4,2.3694158075599723,0.3457903780067252,-0.7607388316152762,3.475945017181973,5.499570446735221,0,0,0,0,-1.2177835051547723,3.003865979381211,-1,0.0,0.7832856,1
2025-10-31 15:00:00,1.15667,1.15667,1.15533,1.1556,3125,1.1571578421183453,1.1589783062433472,0.0009864285714285,25.74405102358317,40.47244094488077,-2.667088318588988,-1.5792751380763088,-3.4247854747907387,2.2435355502322234,-0.0334176637178003,0,1,0,1,1.3584359160029853,1.0847212165098783,0.0,0.2014925373134093,0.2014925373134093,-0.2813582170917021,-0.4937353963060507,-1.8455103367144297,-0.0009337068160597,-0.0017535827509652,-0.0007695699919584,15,4,-2.7506637702147683,-6.423847453535926,-11.935312575428236,2.7608013516775425,6.4339850349987,0,0,0,0,-2.11875452570611,0.0912382331642939,1,0.0,0.65958226,1
2025-11-21 13:00:00,1.15199,1.15228,1.15046,1.15061,2428,1.1530169360855094,1.1538867876854026,0.0010964285714285,14.355998061264852,32.2734499205077,-3.066053325715889,-2.195251152907717,-2.988601146295748,3.8633629668522382,-0.1132106651431654,0,1,0,1,1.6599348534201848,1.2586319218242876,0.159340659340611,0.0824175824175153,0.0824175824175153,-0.3133969178395692,-0.2601838354712453,-0.7933499933880309,-0.0011979270653392,-0.0030326398696831,-0.0030671923060261,13,4,-1.8089033659069853,-4.228881650380718,-6.423887079262234,0.3861020629745306,2.806080347448263,0,0,0,0,-4.241042345277042,-0.7387622149837153,1,0.0,0.6899373,1
2025-12-18 11:00:00,1.17323,1.17327,1.17172,1.17221,2542,1.1737883384063994,1.1740129934846768,0.0007835714285714,41.36159656066823,28.27324478178293,-2.904466380649842,-2.0142878477293737,-2.3009944198245,4.203911116464804,-0.0808932761299908,0,1,0,1,1.9781221513216445,1.3017319963536749,0.02580645161293,0.3161290322579989,0.3161290322579989,-0.2862048195517936,-0.1408851588929295,-0.2867065720951259,-0.0008693947478328,-0.0018817799424397,-0.0017882841839037,11,3,-1.488909146156253,-5.415375265876507,-8.508052263749248,1.603767851716488,5.530233971436742,0,0,0,0,-3.509571558796639,0.6253418413854223,1,0.0,0.6083594,1
2026-01-05 05:00:00,1.16888,1.16909,1.16723,1.16753,2063,1.1715063484601398,1.17309619391071,0.0013135714285713,32.44417304507291,29.930795847750986,-2.5213378025366757,-3.0271277021185776,-4.237450502987807,6.374629287995203,-0.0042675605073338,0,1,0,1,1.4159869494290924,1.027732463295295,0.1129032258064766,0.1612903225806297,0.1612903225806297,-1.071584645872865,-0.6175998898815173,-1.2103228008692295,-0.0011549517486825,-0.0025373771892355,-0.002971793579901,5,0,-4.354540511147724,-5.823817292007124,-8.290375203915833,-1.8879825992390156,-0.4187058183796148,0,0,0,0,-6.021750951604518,0.2283849918433801,1,0.0,0.6283822,1
2026-01-08 15:00:00,1.16733,1.16779,1.16582,1.16629,3373,1.167819058836452,1.1687145101891192,0.0007078571428571,41.766932210970175,35.18123667377492,-3.1253795640609727,-2.160123482373949,-3.4251405295326585,3.2816195763184544,-0.1250759128121766,0,1,0,1,2.783047426841651,1.4692230070634933,0.2335025380711272,0.2385786802030274,0.2385786802030274,-0.4388253299371532,-0.416182343257384,-1.2650170471587094,-0.0008994808710401,-0.0014554919134581,-0.0007197141706578,15,3,-2.9337369660277064,-4.483013790783978,-7.18600739993285,-0.2307433568788339,1.3185334678774376,0,0,1,0,-2.670030272452031,-0.8476286579212099,1,0.0,0.64837766,1
2026-01-16 17:00:00,1.16182,1.16274,1.15845,1.15935,5886,1.1612430652795749,1.162163024669275,0.0009807142857142,21.247071792157588,37.8571428571432,-2.725460881437656,-1.9302923462525348,-2.868342707199401,3.100566760444846,-0.0450921762875256,1,1,0,1,4.374362709395452,2.5185724690461204,0.2144522144521748,0.2097902097901913,0.2097902097901913,0.0130555319234256,-0.1882257404770249,-0.9380503609468662,-0.0021259747637328,-0.0022032687557557,-0.0016963455378362,17,4,-2.341830541393749,-4.734644331148633,-7.848021364409198,0.7715464918668166,3.1643602816217005,0,0,0,0,-3.4566642388929907,0.9176984705024616,1,0.0,0.7470924,1
2026-04-02 04:00:00,1.15957,1.16057,1.15455,1.15526,9499,1.1584484120679528,1.1560769017789796,0.0019349999999999,44.0422399349565,30.23758099352048,-2.7247347025534103,-1.6477581746526673,-0.4221714620049911,4.0679113888697085,-0.0449469405106936,0,1,0,1,3.111111111111137,2.2273901808786216,0.1661129568106153,0.1179401993355479,0.1179401993355479,-0.0741386331472052,0.2563799656706184,1.225586712647676,-0.0037083031494704,-0.0033215139201629,-0.0032441200324412,4,3,-1.972437553832902,-3.8208440999138538,-5.698535745047424,-0.0947459086993313,1.7536606373816204,0,0,1,0,-2.7441860465116514,-1.229974160206771,1,0.0,0.6803244,1
